(0.999996240716273, 1.0040865402195556)
(0.999996240716273, 1.0040865402195556)
(0.100075478298014, 10.033254725831178)
(0.100075478298014, 10.033254725831178)
(0.5524405747017506, 1.8175398613967568)
(0.17519576387906682, 5.731204587038173)
(0.1671755899884591, 6.006156554570442)
(0.1439396122475974, 6.975722317816125)
(0.25329083343952313, 3.9641496375473997)
(0.6127361826112473, 1.6386869162750397)
(0.14929570073077303, 6.725463363369321)
(0.8443713690521532, 1.1891482851917337)
(0.32999651671974917, 3.042707164167086)
(0.3913095840811972, 2.5659549533676027)
(0.10734247037474, 9.354012089232175)
(0.5184946107262838, 1.9365346231215224)
(0.32999651671974917, 3.042707164167086)
(0.933128585481956, 1.076039016696462)
(0.1340442476921686, 7.490681494063298)
(0.9272264745532499, 1.0828883699175489)
(0.11596313117835384, 8.658637925437379)
(0.7370228403785662, 1.3623495915779555)
(0.1118444109322419, 8.977496123446548)
(0.7438932196014197, 1.349767331003978)
(0.4840113761533973, 2.0745024085035997)
(0.19758495426408634, 5.081777452706932)
(0.1826697312786108, 5.496711242444)
(0.11596313117835384, 8.658637925437379)
(0.5758576113921795, 1.7436302754528468)
(0.12004679728479772, 8.364094572146637)
(0.8088509976832245, 1.2413692613959038)
(0.7074370092289269, 1.4193246218031021)
(0.1826697312786108, 5.496711242444)
(0.7783732743379094, 1.2899759006081566)
(0.1118444109322419, 8.977496123446548)
(0.19200548633460573, 5.229448307657006)
(0.2857446240289864, 3.5139165574345452)
(0.2857446240289864, 3.5139165574345452)
(0.10435294033036781, 9.621988248673867)
(0.47499020198094644, 2.113902058160016)
(0.4375770937228034, 2.2946419727569913)
(0.2097335056155472, 4.787421840999988)
(0.9615827610251967, 1.0441979684648839)
(0.1468389485702965, 6.83798661969224)
(0.15484065416590712, 6.484619759469111)
(0.1237438935081996, 8.114200524220868)
(0.10435294033036781, 9.621988248673867)
(0.10134810358646455, 9.907267428213267)
(0.2754397328530308, 3.6453809883308415)
(0.9822880623036456, 1.02218769025718)
(0.10842330973553695, 9.26076475642087)
(0.1292403769835697, 7.769110466932585)
(0.15484065416590712, 6.484619759469111)
(0.1237438935081996, 8.114200524220868)
(0.12004679728479772, 8.364094572146637)
(0.4375770937228034, 2.2946419727569913)
(0.45849917416553065, 2.1899336403403495)
(0.3597737654212012, 2.7908726596500038)
(0.38160993353193096, 2.631175651745314)
(0.35155542471981804, 2.856115124303931)
(0.9005062410344966, 1.1150203294758732)
(0.13927449114879684, 7.209380248251142)
(0.6791680985377081, 1.4784009551320478)
(0.13927449114879684, 7.209380248251142)
(0.12787971043119106, 7.851775408215651)
(0.5943101041002544, 1.6894930081888448)
(0.304785635823928, 3.294390048464798)
(0.22760055443580407, 4.411600701335599)
(0.45849917416553065, 2.1899336403403495)
(0.19758495426408634, 5.081777452706932)
(0.35155542471981804, 2.856115124303931)
(0.24045243143896672, 4.175806248098712)
(0.2178312976817695, 4.60945133348208)
(0.8676880309245664, 1.1571932881262201)
(0.25728314665587376, 3.9026371475328863)
(0.4192078361732885, 2.395190831209332)
(0.5046962480647783, 1.9894793540143165)
(0.21121367689745965, 4.753871909823473)
(0.6502645449700277, 1.5441142737063192)
(0.6286321253076754, 1.5972501645249673)
(0.5184946107262838, 1.9365346231215224)
(0.38160993353193096, 2.631175651745314)
(0.8676880309245664, 1.1571932881262201)
(0.31004648478078856, 3.23849104847384)
(0.7669433763147887, 1.309200648420807)
(0.2728753427978345, 3.679639044254946)
(0.31004648478078856, 3.23849104847384)
(0.304785635823928, 3.294390048464798)
(0.2178312976817695, 4.60945133348208)
(0.3597737654212012, 2.7908726596500038)
(0.13490867576390522, 7.442684911758703)
(0.19200548633460573, 5.229448307657006)
(0.9615827610251967, 1.0441979684648839)
(0.16080481046098438, 6.2441090082748625)
(0.8901140593117667, 1.1280383171901789)
(0.16070015404485405, 6.248175501394407)
(0.6502645449700277, 1.5441142737063192)
(0.22760055443580407, 4.411600701335599)
(0.4192078361732885, 2.395190831209332)
(0.24045243143896672, 4.175806248098712)
